"","DPA","Treatment","Index","S_Group","Condition","Mature_M","Mature_F","Mature_T","Temp_high","Temp_Avg","Temp_low","Date","Cycle.number","On_Off","Percent_M","Total"
"231",145,"s60_control","e","s60","CTRL",7,11,18,18.9,18.44,18,"7 Oct 2021",6.5,"off",34.61538462,52
"232",150,"s60_control","e","s60","CTRL",7,11,18,19.4,18.78,18.2,"12 Oct 2021",6.5,"off",34.61538462,52
"233",160,"s60_control","e","s60","CTRL",7,11,18,19.3,18.92,18.3,"22 Oct 2021",7,"on",34.61538462,52
"234",179,"s60_control","e","s60","CTRL",7,11,18,18.3,17.56,16.8,"10 Nov 2021",7.5,"off",34.61538462,52
"235",185,"s60_control","e","s60","CTRL",7,11,18,16.1,15.5,14.2,"16 Nov 2021",8,"on",34.61538462,52
"236",192,"s60_control","e","s60","CTRL",7,11,18,15.5,14.95,14.5,"23 Nov 2021",8,"on",34.61538462,52
"237",193,"s60_control","e","s60","CTRL",7,11,18,14.9,14.55,14,"24 Nov 2021",8,"on",34.61538462,52
"238",206,"s60_control","e","s60","CTRL",7,11,18,17.8,17.43,16.9,"7 Dec 2021",8.5,"off",34.61538462,52
"239",213,"s60_control","e","s60","CTRL",7,11,18,18.8,18.39,17.8,"14 Dec 2021",9,"on",34.61538462,52
"240",215,"s60_control","e","s60","CTRL",7,11,18,19.3,18.33,17.8,"16 Dec 2021",9,"on",34.61538462,52
"241",216,"s60_control","e","s60","CTRL",7,11,18,19,17.96,17,"17 Dec 2021",9,"on",34.61538462,52
"242",220,"s60_control","e","s60","CTRL",7,11,18,16.7,15.96,15,"21 Dec 2021",9,"on",34.61538462,52
"243",234,"s60_control","e","s60","CTRL",7,11,18,16.1,15.75,15.1,"4 Jan 2022",9.5,"off",34.61538462,52
"244",236,"s60_control","e","s60","CTRL",7,11,18,17.7,17.11,15.9,"6 Jan 2022",9.5,"off",34.61538462,52
"245",241,"s60_control","e","s60","CTRL",7,11,18,16.2,15.36,14.5,"11 Jan 2022",10,"on",34.61538462,52
"246",248,"s60_control","e","s60","CTRL",7,11,18,18.9,18.4,17.8,"18 Jan 2022",10,"on",34.61538462,52
"247",251,"s60_control","e","s60","CTRL",7,11,18,18.9,18.38,17.8,"21 Jan 2022",10,"on",34.61538462,52
"248",254,"s60_control","e","s60","CTRL",7,11,18,18.8,18.38,17.8,"24 Jan 2022",10.5,"off",34.61538462,52
"249",272,"s60_control","e","s60","CTRL",7,11,18,20.2,19.88,19.5,"11 Feb 2022",11,"on",34.61538462,52
"250",296,"s60_control","e","s60","CTRL",7,11,18,20,19.35,18.4,"7 Mar 2022",12,"on",34.61538462,52
"251",307,"s60_control","e","s60","CTRL",7,11,18,21.2,20.77,20,"18 Mar 2022",12,"on",34.61538462,52
"252",319,"s60_control","e","s60","CTRL",7,11,18,20.7,20.22,19.4,"30 Mar 2022",12.5,"off",34.61538462,52
